siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-002,SITE-002-CFO-068,C_STRUCTURE_RISK,53.164,167.02,0.26582,31,53,0.625,0.02239,0.999,4,0.24927,0.176,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-069,B_LOW_CONFIDENCE,39.519,124.153,0.1976,23,86,0.54167,0.01444,0.997,4,0.24668,0.496,CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-070,C_STRUCTURE_RISK,54.991,172.759,0.27496,28,65,0.625,0.02403,0.997,4,0.21904,0.298,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-071,B_LOW_CONFIDENCE,47.349,148.75,0.23674,28,70,0.5,0.021,0.993,4,0.20941,0.608,CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-072,C_STRUCTURE_RISK,55.54,174.483,0.2777,36,62,0.5,0.0212,1.0,3,0.18338,0.53,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-073,C_STRUCTURE_RISK,55.25,173.572,0.27625,24,46,0.54167,0.02189,0.997,4,0.25566,0.579,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-074,B_LOW_CONFIDENCE,44.025,138.309,0.22013,16,35,0.41667,0.01403,0.998,4,0.24446,0.448,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-075,B_LOW_CONFIDENCE,29.854,93.789,0.14927,10,26,0.33333,0.00725,0.998,5,0.21894,0.299,LIMITED_POINT_SUPPORT;PARTIAL_ANGULAR_COVERAGE;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-076,B_LOW_CONFIDENCE,35.844,112.608,0.17922,10,22,0.375,0.01362,1.0,5,0.1753,0.202,LIMITED_POINT_SUPPORT
site-002,SITE-002-CFO-077,C_STRUCTURE_RISK,59.812,187.903,0.29906,18,39,0.41667,0.02209,0.998,4,0.24128,0.213,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-078,B_LOW_CONFIDENCE,44.605,140.131,0.22303,13,22,0.29167,0.01816,0.999,5,0.15774,0.102,LIMITED_POINT_SUPPORT;PARTIAL_ANGULAR_COVERAGE
site-002,SITE-002-CFO-079,C_STRUCTURE_RISK,59.201,185.985,0.296,24,38,0.54167,0.022,1.0,2,0.09078,0.315,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;LIMITED_VERTICAL_PERSISTENCE
site-002,SITE-002-CFO-080,B_LOW_CONFIDENCE,38.936,122.321,0.19468,11,33,0.29167,0.01697,0.998,4,0.22638,0.258,LIMITED_POINT_SUPPORT;PARTIAL_ANGULAR_COVERAGE;CENTERLINE_SPREAD_HIGH
